text,label,confidence,alert,saved_at
I feel empty and tired of everything,Suicidal,0.59,MEDIUM,2026-03-28 13:05:51.999985
I am very stressed about my exams,Stress,0.97,MEDIUM,2026-03-28 13:05:51.999985
Life is going well today,Normal,0.56,MEDIUM,2026-03-28 13:05:51.999985
I feel anxious all the time,Anxiety,0.85,HIGH,2026-03-28 13:05:51.999985
I don't enjoy things anymore,Personality disorder,0.45,LOW,2026-03-28 13:05:51.999985
I'm feeling motivated and happy,Normal,0.3,LOW,2026-03-28 13:05:51.999985
Everything feels overwhelming lately,Bipolar,0.2,LOW,2026-03-28 13:05:51.999985
I can't focus and feel lost,Bipolar,0.37,LOW,2026-03-28 13:05:51.999985
Today was a good day,Normal,0.93,MEDIUM,2026-03-28 13:05:51.999985
I feel sad and alone,Depression,0.51,MEDIUM,2026-03-28 13:05:51.999985
